ident;ref;type_transaction;type_bien;cp;ville;pays;adresse;quartier;activites_commerciales; prix ;loyer_murs; loyer_cc ;loyer_ht;honoraires; surface;surface_terrain ;nb_pieces;nb_chambres;libelle ;description;date_dispo;charges;etage;nb_etage;meuble;annee_construction;refait_a_neuf;nb_sdb;nb_salle_eau;nb_wc;wc_separe;type_chauffage;type_cuisine;orientation_sud;orientation_est;orientation_ouest;orientation_nord;nb_balcons;surface_balcons;ascenceur;cave;nb_parkings;nb_boxes;digicode;interphone;gardien;terrasse; prix_semaine_basse_saison; prix_quinzaine_basse_saison;prix_mois_basse_saison;rix_semaine_haute_saison;prix_quinzaine_haute_saison;prix_mois_haute_saison;nb_personnes;type_residence;situation ;nb_couverts;nb_lits_doubles;nb_lits_simple;alarme;cable_tv;calme;climatisation;piscine;amenagement_handicapes;animaux_acceptes;cheminee;congelateur;four;lave-vaisselle;micro-ondes;placards;telephone;proche_lac;proche_tennis;proche_pistes_ski;vue_degagee;chiffre_affaire;longueur_facade;duplex;publications;mandat_exclusif;coup_de_coeur;photo_1;photo_2;photo_3;photo_4;photo_5;photo_6;photo_7;photo_8;photo_9; titre_photo_1; titre_photo_2; titre_photo_3; titre_photo_4; titre_photo_5; titre_photo_6; titre_photo_7; titre_photo_8; titre_photo_9;photo_panoramique;url_visite_virtuelle; tel_a_afficher;contact_a_afficher;email_a_afficher;cp_reel;ville_reelle;intercabinet;intercabinet_prive;num_mandat;date_mandat;nom_mandataire;prenom_mandataire;rs_mandataire;adresse_mandataire;cp_mandataire;ville_mandataire;tel_mandataire;commentaires_mandataire;commentaires_prives;code_negociateur;code_langue_1;proximite_langue_1;libelle_langue_1;descriptif_langue_1;code_langue_2; proximite_langue_2; libelle_langue_2; descriptif_langue_2; code_langue_3; proximite_langue_3; libelle_langue_3; descriptif_langue_3;etat_interieur;surface_jardin;taxe_fonciere;nb_parkint;nb_parkext;nb_boxes;nb_garage;type_transport;terrain_gaz;peripherique; champ_perso_11; champ_perso_12; champ_perso_13; champ_perso_14; champ_perso_15; champ_perso_16; champ_perso_17; champ_perso_18; champ_perso_19; champ_perso_20; champ_perso_21; champ_perso_22; champ_perso_23; champ_perso_24; champ_perso_25; depot_garantie; recent; travaux_a_prevoir; photo_10; photo_11; photo_12; photo_13; photo_14; photo_15; photo_16; photo_17; photo_18; photo_19; photo_20; identifiant_technique; conso_energie; lettre_conso_energie; emission_ges; lettre_emission_ges; identifiant_quartier; sous_type_de_bien; periodes_dispo; periodes_basse_saison; periodes_haute_saison; prix_bouquet ; rente_mensuelle; age_homme ; age_femme ; entree ; residence; parquet; vis_a_vis; transport_ligne; transport_station; duree_bail; places_en_salle; monte_charge; quai; nb_bureaux; prix_droit_entree; prix_masque; loyer_annuel; charges_annuelles; loyer_annuel_m2; charges_annuelles_m2; charges_mensuelles_ht; loyer_annuel_cc; loyer_annuel_ht; charges_annuelles_ht; loyer_annuel_m2_cc; loyer_annuel_m2_ht; charges_annuelles_m2_ht; divisible; surf_divisible_min; surf_divisible_max; surf_sejour; nb_vehicules; prix_droit_bail; valeur_achat; repartition_ca; terrain_agricole; equipement_bebe; terrain_constructible; resultat_n-2; resultat_n-1; resultat_actuel; immeuble_de_parkings; parking_isole; si_viager_vendu_libre; logement_a_dispo; terrain_en_pente; plan_eau; lave_linge; seche_linge; connexion_internet; ca_n-2; ca_n-1; conditions_financieres; presta_diverses; longueur_facade; montant_du_rapport; nature_bail; nature_bail_commercial; nbr_terrasses; prix_ht; si_salle_a_manger; si_sejour; terrain_donne_sur_rue; immeuble_de_type_bureaux; terrain_viabilise; equipement_video; surf_cave; surf_salle_a_manger; situation_commerciale; surf_max_bureau;;;;Nombre de lots ;Montant des charges annuelles;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;320;321;322;323;324;325;326;327;328;329;330;331;332;333;334;335;336;337;338;339;340;341;342;343;344;345;346;347;348;349;350;351;352;353
0;1;2;3;4;5;6;7;8;9;10;11;12;13;14;15;16;17;18;19;20;21;22;23;24;25;26;27;28;29;30;31;32;33;34;35;36;37;38;39;40;41;42;43;44;45;46;47;48;49;50;51;52;53;54;55;56;57;58;59;60;61;62;63;64;65;66;67;68;69;70;71;72;73;74;75;76;77;78;79;80;81;82;83;84;85;86;87;88;89;90;91;92;93;94;95;96;97;98;99;100;101;102;103;104;105;106;107;108;109;110;111;112;113;114;115;116;117;118;119;120;121;122;123;124;125;126;127;128;129;130;131;132;133;134;135;136;137;138;139;140;141;142;143;144;145;146;147;148;149;150;151;152;153;154;155;156;157;158;159;160;161;162;163;164;165;166;167;168;169;170;171;172;173;174;175;176;177;178;179;180;181;182;183;184;185;186;187;188;189;190;191;192;193;194;195;196;197;198;199;200;201;202;203;204;205;206;207;208;209;210;211;212;213;214;215;216;217;218;219;220;221;222;223;224;225;226;227;228;229;230;231;232;233;234;235;236;237;238;239;240;241;242;243;244;245;246;247;248;249;250;251;252;253;254;255;256;257;258;259;260;261;262;263;264;265;266;267;268;269;270;271;272;273;274;275;276;277;278;279;280;281;282;283;284;285;286;287;288;289;290;291;292;293;294;295;296;297;298;299;300;301;302;303;304;305;306;307;308;309;310;311;312;313;314;315;316;317;318;319;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
hektor_Citizim;1303-106150;Vente;maison/villa;14700;Falaise;France;;;;159000;;NON;;;99.95;0;4;3;Maison de 4 pp � FALAISE; FALAISE, � 5 minutes du bourg, maison mitoyenne d'un c�t� de 4 pp de 100 m2 compos�e au RDC d'une entr�e avec garage et cellier. Au 1er niveau : s�jour-salon donnant sur jardin clos avec terrasse. Au 2nd niveau : cuisine ouverte sur salle � manger, wc et placard. Au dernier �tage : 2 chambres, salle de bains avec wc et 1 chambre. DPE : C. Chauff. Gaz de ville. Pas de frais d'agence. Frais de notaire r�duits.<br> Visite sur rdv du lundi au vendredi de 09h � 17h. Priorit� aux locataires du parc social dans le Dept. 14 (sous condition de ressources).<br> Date limite de remise des offres d'achat le 15/01/2025, par mail � l'adresse qui vous sera communiqu�e lors de la visite ou par voie postale � l'adresse suivante : PARTELIOS HABITAT- service Vente   2, Rue Martin Luther King, 14280 ST CONTEST.<br> Les informations sur les risques auxquels ce bien est expos� sont disponibles sur le site G�orisques : www.georisques.gouv.fr.<br> Pour plus d'informations, contactez-nous au 02 31 06 23 81 / ventes@partelios.fr.<br> Retrouvez toutes nos offres sur notre site : www.partelios.fr / rubrique 'acheter un logement'.  ;;0;0;0;;1992;;0;0;0;;8704;1;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NON;;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_51f8afebeb4dc5dfa2fced43836c443a.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_67aa39d0801d4d9b28342f0f6f157b4c.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_c619195486c4978e0be8e54a4f37d3a6.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_0993d9a95c19705aa18faeb432ccbdfd.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_62c526c7ed035b5e2d150c2003a84166.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_2af35e609aaa85381b48947275927d79.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_a4247c3ea82dd53037d88cb6d54cae11.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_72485ec42f5699b22a0ba9c165cbcf2c.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_c9371b3f6a77d23b22722377ac5a9fc5.jpg;;;;;;;;;;;;0231062381; Partelios Habitat;ventes@partelios.fr;14700;falaise;;;;00/00/0000;Partelios Habitat;;PARTELIOS HABITAT;2 rue Martin Luther king;14280;st contest;0231062381;;;0;EN;;;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_d99abcc42c716420970ce3afaeffca3e.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_e8806209e8e32cbd852240d365fa4f68.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_44b8e05cb9c96da85771bdf61118e4a9.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_8375d6f1c42b387a922f80ee9d7c8619.jpg;https://partelios.staticlbi.com/wa/images/biens/1/33fece204af95dff0129a8eb76e492b7/photo_0ed1c5d56810ccdeeefed0195023e709.jpg;;;;;;;1555;145;C;29;C;;;;;;;;;;;;;;;;;;;;;;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4.12;;159000;;;;;;;;;;;;;;;OUI;;;;;;16/01/2023;DPE_v07-2021;0;0;00-00-0000;0;0;;;NON;0;;;;;;;;;;;;;;;;;;;;
hektor_Citizim;1030-101197;Vente;maison/villa;14140;Livarot;France;;;;155000;;NON;;;92.61;0;5;4;Maison 5 pp � LIVAROT; Nous vous proposons cette maison 5 pp de plain-pied, mitoyenne d'un c�t�, d'une surface d'environ 93 m2. Cette habitation est compos�e d'une entr�e, wc, s�jour-salon, cuisine s�par�e, d�gagement avec placard, 4 chambres et salle de bains. Garage attenant et jardin clos. DPE : C. Chauffage : Gaz de ville. Pas de frais d'agence. Frais de notaire r�duits.<br> Visite sur rdv du lundi au vendredi de 09h � 17h. Priorit� aux locataires du parc social dans le Dept. 14 (sous condition de ressources).<br> Date limite de remise des offres d'achat le 23/12/2024, par mail � l'adresse qui vous sera communiqu�e lors de la visite ou par voie postale � l'adresse suivante : PARTELIOS HABITAT- service Ventes   2, Rue Martin Luther King, 14280 ST CONTEST.<br> Les informations sur les risques auxquels ce bien est expos� sont disponibles sur le site G�orisques : www.georisques.gouv.fr.<br> Pour plus d'informations, contactez-nous au 02 31 06 23 81 / ventes@partelios.fr.<br> Retrouvez toutes nos offres sur notre site : www.partelios.fr / rubrique 'acheter un logement'.  ;;0;0;0;;1971;;0;0;0;;8704;1;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NON;;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_a2b29932a309a6004f94c8b61661da43.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_2dcd70232c7789e1ea71270e510ba2e1.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_f70f7955fee55f53462b3a422ab1ff58.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_364f0137a48e1a843a6240264d3a48c6.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_141dde9bc5da7f810f7dad6253b6970d.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_e6270468d34990ad325e4c0c321b4df0.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_ca504bd43960c5705f4328c0846b384f.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_0338f78f969e61d288078c2b7b6c90d8.jpg;https://partelios.staticlbi.com/wa/images/biens/1/779d36b3433aae2ad7ecabc6c3be7191/photo_20d32dfb502397d0ba7e457f467ee4d9.jpg;;;;;;;;;;;;0231062381; Partelios Habitat;ventes@partelios.fr;14140;livarot;;;;00/00/0000;Partelios Habitat;;PARTELIOS HABITAT;2 rue Martin Luther king;14280;st contest;0231062381;;;0;EN;;;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;1639;144;C;28;C;;;;;;;;;;;;;;;;;;;;;;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4.12;;155000;;;;;;;;;;;;;;;OUI;;;;;;27/05/2024;DPE_v07-2021;0;0;01/01/2000;0;0;;;NON;0;;;;;;;;;;;;;;;;;;;;
hektor_Citizim;1086-102714;Vente;maison/villa;14130;Saint-Philbert-des-Champs;France;;;;129000;;NON;;;78.2;184;4;3;Maison 4 pi�ces � SAINT PHILIBERT DES CHAMPS; SAINT PHILBERT DES CHAMPS, maison de 4 pp de 78 m2, mitoyenne des 2 c�t�s, compos�e d'une entr�e avec wc, s�jour-salon, 1 chambre, cuisine et garage attenant. � l'�tage, d�gagement, 2 chambres et sdb. Jardin clos. Chauffage : Fioul domestique. Classe �nerg�tique : E. Frais de notaire r�duits.<br> Visite sur rdv du lundi au vendredi de 09h � 17h. Priorit� aux locataires du parc social dans le Dept. 14 (sous condition de ressources).<br> Date limite de remise des offres d'achat le 15/01/2025, par mail � l'adresse qui vous sera communiqu�e lors de la visite ou par voie postale � l'adresse suivante : PARTELIOS HABITAT- service Vente   2, Rue Martin Luther King, 14280 ST CONTEST.<br> Les informations sur les risques auxquels ce bien est expos� sont disponibles sur le site G�orisques : www.georisques.gouv.fr.<br> Pour plus d'informations, contactez-nous au 02 31 06 23 81 / ventes@partelios.fr.<br> Retrouvez toutes nos offres sur notre site : www.partelios.fr / rubrique 'acheter un logement'.  ;;0;0;0;;1975;;0;0;0;;8192;1;;;;;;;;;0;1;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;NON;;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_f28e070d16b9352bc20577296e10c653.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_51683d21aa66580c2247388ef7df25e1.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_6f47b58f72626a86eb7eb3d67da616a3.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_f6fde5d63166a4bc1047fb83c6b8e644.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_ec2287c0eb9f50d4c3e0f0bbeff03213.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_acbd50a41988f3a0008422683191ea0c.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_5919a7162ffba4ed59662030dc973c6f.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_7bad28f4b20d059127e05d398fc33fd6.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_85efca4ceb09c02e1d2be8c4898e482c.jpg;;;;;;;;;;;;0231062381; Partelios Habitat;ventes@partelios.fr;14130;st philbert des champs;;;;00/00/0000;Partelios Habitat;;PARTELIOS HABITAT;2 rue Martin Luther king;14280;st contest;0231062381;;;0;EN;;;  ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_e0239ae54af96f94fa43569ce47b0c90.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_6c09eea324b8ebc5e8c3b5c971b1ab5f.jpg;https://partelios.staticlbi.com/wa/images/biens/1/a897c605e3f182c13fb32ce994fa8fd0/photo_4d9e6b52429ce9adea66e2eae1699bf0.jpg;;;;;;;;;1645;276;E;63;E;;;;;;;;;;;;;;;;;;;;;;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;0;0;NON;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;1;4.12;;129000;;;;;;;;;;;;;;;OUI;;;;;;04/03/2024;DPE_v07-2021;0;0;01/01/2000;0;0;;;NON;0;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;      ;;;;;;;;;;;;;;;;;
